University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
National University Odessa Law Academy,n/a,1000493,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
The National University of Ostroh Academy,n/a,1000494,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National Polytechnic University of Armenia,n/a,1000495,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National University of Quilmes,n/a,1000496,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National School of Artificial Intelligence (ENSIA),n/a,1000497,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
"""""National University of Science and Technology"," Oman""""",n/a,1000498,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0
"""""National University"," Sudan""""",n/a,1000499,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0
National Textile University,n/a,1000500,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National Transport University,n/a,1000501,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National University of Water and Environmental Engineering,n/a,1000502,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
National University “Yuri Kondratyuk Poltava Polytechnic”,n/a,1000503,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Navoi State Pedagogical Institute,n/a,1000504,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Netaji Subhas University of Technology,n/a,1000505,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
Newman University,n/a,1000506,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,master_account
