University,Overall_Score,Overall_Rank,Teaching_Score,Teaching_Rank,Research_Score,Research_Rank,Citations_Score,Citations_Rank,Industry_Income_Score,Industry_Income_Rank,International_Outlook_Score,International_Outlook_Rank,Number_of_Students
Nanjing University of Aeronautics and Astronautics,37.0–41.8,7150,28.2,797,31.6,428,50.1,1019,71.4,399,24.7,1717,master_account
Nanjing Forestry University,37.0–41.8,7160,22.6,1178,21.2,761,79.4,335,28.7,1213,28.0,1576,master_account
Nanjing Tech University,37.0–41.8,7170,21.8,1247,16.2,1035,69.1,578,68.1,480,37.1,1234,master_account
National Institute of Applied Sciences of Lyon (INSA Lyon),37.0–41.8,7180,37.2,385,27.0,542,38.3,1252,93.8,130,75.1,328,master_account
National University of Sciences and Technology,37.0–41.8,7190,25.1,994,19.4,845,71.2,531,34.9,1093,55.1,672,master_account
National University of Science and Technology (MISiS),37.0–41.8,7200,39.1,330,27.1,539,43.2,1162,64.1,565,65.6,473,master_account
National Sun Yat-Sen University,37.0–41.8,7210,28.2,798,33.7,386,43.8,1145,79.1,274,47.2,885,master_account
National Technical University of Athens,37.0–41.8,7220,26.3,922,23.0,686,59.1,801,59.7,651,38.1,1187,master_account
National Institute of Technology Rourkela,37.0–41.8,7230,30.6,660,20.2,800,64.7,678,29.9,1185,23.1,1774,master_account
National Institute of Technology Silchar,37.0–41.8,7240,32.4,574,19.5,839,71.7,519,18.4,1636,20.5,1849,master_account
Near East University,37.0–41.8,7250,25.9,945,18.8,879,66.6,633,49.9,810,86.8,172,master_account
"""""University of Nevada"," Las Vegas""""",37.0–41.8,7260,29.3,730,25.6,587,64.7,679,51.5,783,38.3,1179
University of New Brunswick UNB,37.0–41.8,7270,24.3,1058,25.0,613,62.4,722,64.0,569,81.1,237,master_account
University of North Carolina at Charlotte,37.0–41.8,7280,23.2,1139,22.1,725,74.4,455,58.7,667,37.0,1239,public
"""""Northeastern University"," China""""",37.0–41.8,7290,31.5,615,28.1,514,57.8,825,73.7,355,46.7,904
Northern Illinois University,37.0–41.8,7300,26.3,923,15.9,1053,60.0,781,60.4,637,62.8,524,public
North-West University,37.0–41.8,7310,22.7,1171,18.7,883,64.3,685,48.0,844,56.6,652,master_account
Norwegian University of Life Sciences,37.0–41.8,7320,32.1,585,14.7,1148,64.0,690,36.5,1061,70.8,394,master_account
Novosibirsk State University,37.0–41.8,7330,42.2,260,36.6,313,31.6,1409,40.7,963,51.9,743,master_account
Ohio University (Main campus),37.0–41.8,7340,30.6,662,20.1,807,61.2,747,54.7,732,37.2,1230,public
Oklahoma State University,37.0–41.8,7350,34.1,489,20.9,776,60.8,763,65.8,533,56.0,661,public
Old Dominion University,37.0–41.8,7360,26.1,930,20.4,793,61.2,748,64.0,570,38.1,1188,public
Ontario Tech University,37.0–41.8,7370,18.8,1480,25.0,614,63.5,701,51.9,776,63.2,512,master_account
The Open University,37.0–41.8,7380,17.7,1582,16.1,1044,68.7,589,52.6,759,63.6,509,master_account
Open University of Catalonia,37.0–41.8,7390,18.4,1518,18.2,909,75.9,420,29.7,1191,51.0,772,master_account
Örebro University,37.0–41.8,7400,20.1,1368,22.5,710,77.9,370,43.8,909,54.6,682,master_account
Otto von Guericke University of Magdeburg,37.0–41.8,7410,33.4,528,18.0,918,54.4,901,51.4,786,74.5,337,master_account
Oxford Brookes University,37.0–41.8,7420,25.1,996,21.1,765,62.5,719,29.1,1199,87.9,151,master_account
University of Palermo,37.0–41.8,7430,18.9,1473,22.5,711,69.8,560,47.2,860,34.8,1328,master_account
Panjab University,37.0–41.8,7440,32.6,566,16.2,1036,67.9,605,39.2,1001,23.5,1758,master_account
University of Parma,37.0–41.8,7450,19.4,1433,22.6,703,72.2,505,65.9,532,38.7,1163,master_account
Parthenope University of Naples,37.0–41.8,7460,18.5,1508,22.6,704,78.2,362,25.6,1312,32.2,1418,master_account
Universiti Pendidikan Sultan Idris,37.0–41.8,7470,35.3,452,25.2,604,38.8,1245,62.3,609,70.8,395,master_account
Universitat Politècnica de Catalunya,37.0–41.8,7480,31.2,632,21.0,769,57.3,839,69.7,439,61.4,552,master_account
Polytechnic University of Valencia,37.0–41.8,7490,30.0,687,25.0,615,55.4,880,83.2,224,57.6,630,master_account
Prince Sattam Bin Abdulaziz University,37.0–41.8,7500,21.3,1282,12.0,1409,80.8,306,23.5,1383,75.8,316,master_account
Princess Nourah bint Abdulrahman University,37.0–41.8,7510,26.7,893,16.3,1027,66.1,647,28.3,1227,91.7,102,master_account
Qazvin University of Medical Sciences,37.0–41.8,7520,38.7,346,11.6,1457,71.9,511,18.7,1611,26.5,1642,master_account
Qingdao University,37.0–41.8,7530,17.8,1570,18.4,898,84.1,232,40.0,978,24.4,1727,master_account
Universitat Ramon Llull,37.0–41.8,7540,20.7,1324,18.2,910,70.3,555,32.1,1140,72.6,369,master_account
Reykjavík University,37.0–41.8,7550,15.6,1726,24.0,652,76.1,415,28.7,1214,64.4,498,master_account
University of Rhode Island,37.0–41.8,7560,26.3,925,20.5,789,57.4,833,50.0,808,53.7,699,public
University of Rome III,37.0–41.8,7570,23.1,1147,25.3,598,58.3,816,49.5,818,45.4,950,master_account
Roskilde University,37.0–41.8,7580,21.9,1241,33.4,396,55.5,878,76.1,317,54.6,683,master_account
RUDN University,37.0–41.8,7590,39.1,335,23.0,687,46.1,1093,21.0,1481,70.4,401,master_account
Saint-Petersburg Mining University,37.0–41.8,7600,29.7,709,16.9,979,69.3,572,50.4,801,43.1,1017,master_account
University of Salento,37.0–41.8,7610,30.1,681,21.8,741,64.5,682,52.2,767,34.5,1339,master_account
University of Sannio,37.0–41.8,7620,23.6,1106,20.5,790,63.6,700,71.1,405,29.3,1527,master_account
University of Santiago de Compostela,37.0–41.8,7630,29.7,710,21.1,766,58.7,806,69.6,441,46.6,912,master_account
University of Sassari,37.0–41.8,7640,31.1,639,24.7,620,66.3,643,45.7,883,41.9,1058,master_account
Saveetha Institute of Medical and Technical Sciences,37.0–41.8,7650,31.7,604,10.2,1627,77.8,374,17.3,1727,58.9,607,master_account
Shahid Beheshti University of Medical Sciences,37.0–41.8,7660,45.1,204,22.9,691,49.9,1021,63.5,578,27.1,1611,master_account
University of Siegen,37.0–41.8,7670,27.4,856,26.9,544,60.7,765,46.2,876,62.7,530,master_account
South China Normal University,37.0–41.8,7680,22.9,1161,21.7,744,63.9,694,51.4,787,37.4,1224,master_account
South Ural State University,37.0–41.8,7690,23.2,1141,13.5,1257,74.7,449,24.7,1345,54.5,684,master_account
SRUC (Scotland’s Rural College),37.0–41.8,7700,25.3,982,12.8,1331,79.3,337,26.9,1264,64.8,488,master_account
University of Stavanger,37.0–41.8,7710,24.7,1032,15.6,1080,66.6,634,30.2,1177,74.4,340,master_account
Sultan Qaboos University,37.0–41.8,7720,28.1,805,22.2,721,62.3,726,35.7,1082,74.0,350,master_account
Sunway University,37.0–41.8,7730,24.7,1033,14.6,1157,71.7,520,17.2,1740,78.3,279,master_account
SUNY Binghamton University,37.0–41.8,7740,30.7,655,22.0,731,61.1,753,62.8,598,42.7,1028,public
Tallinn University of Technology,37.0–41.8,7750,25.7,962,20.6,785,65.7,659,48.1,841,69.1,420,master_account
Tehran University of Medical Sciences,37.0–41.8,7760,50.0,135,18.5,892,54.3,908,45.1,891,37.5,1220,master_account
Universiti Tenaga Nasional (UNITEN),37.0–41.8,7770,25.1,999,16.8,986,58.0,823,70.8,413,60.8,569,master_account
University of Texas at Arlington,37.0–41.8,7780,25.2,989,20.5,791,65.5,666,62.9,594,55.0,675,public
Texas Tech University,37.0–41.8,7790,30.7,656,20.9,778,56.9,849,58.0,681,58.9,609,public
Thapar Institute of Engineering and Technology,37.0–41.8,7800,24.3,1060,11.9,1420,84.8,217,23.0,1402,28.7,1555,master_account
University of Toledo,37.0–41.8,7810,35.7,438,16.7,996,54.5,898,68.8,460,56.7,649,public
Ton Duc Thang University,37.0–41.8,7820,12.9,1852,16.0,1051,90.6,117,20.9,1489,63.1,516,master_account
Toronto Metropolitan University,37.0–41.8,7830,19.5,1425,32.3,413,57.3,841,70.3,426,62.1,541,master_account
University of Tuscia,37.0–41.8,7840,21.4,1278,22.6,705,77.3,389,54.9,727,43.2,1016,master_account
University of Udine,37.0–41.8,7850,28.5,777,20.2,802,73.1,481,61.1,626,41.8,1060,master_account
Ulster University,37.0–41.8,7860,21.3,1283,22.4,717,62.0,737,50.1,806,82.4,215,master_account
Umm Al-Qura University,37.0–41.8,7870,33.3,531,14.4,1172,62.2,728,53.2,748,73.1,363,master_account
Paris Lodron Universität Salzburg,37.0–41.8,7880,31.6,611,23.4,674,55.0,889,45.8,881,93.4,77,master_account
Urmia University of Medical Sciences,37.0–41.8,7890,35.3,453,11.7,1447,69.3,574,17.8,1683,25.2,1699,master_account
VIT University,37.0–41.8,7900,27.9,811,15.6,1081,68.3,597,28.9,1206,46.2,924,master_account
University of Warsaw,37.0–41.8,7910,33.1,542,29.9,477,55.6,875,37.1,1045,45.6,943,master_account
University of the Western Cape,37.0–41.8,7920,22.0,1233,23.8,665,59.3,799,22.6,1415,65.7,472,master_account
University of the West of Scotland,37.0–41.8,7930,24.4,1053,16.0,1052,66.5,638,24.2,1360,86.9,170,master_account
William & Mary,37.0–41.8,7940,38.4,353,21.7,745,62.2,729,37.1,1046,39.1,1147,public
University of Wolverhampton,37.0–41.8,7950,19.1,1464,14.7,1151,64.7,680,40.7,964,81.1,238,master_account
Worcester Polytechnic Institute,37.0–41.8,7960,30.0,690,22.1,727,61.2,749,61.8,619,57.2,638,private
Wroclaw Medical University,37.0–41.8,7970,40.7,290,13.3,1282,66.9,626,36.5,1063,37.7,1211,master_account
University of Wyoming,37.0–41.8,7980,35.9,434,20.3,799,62.1,732,58.6,668,37.7,1212,public
Xi’an Jiaotong-Liverpool University,37.0–41.8,7990,18.6,1498,15.1,1118,70.8,546,20.9,1491,77.3,291,master_account
Xidian University,37.0–41.8,8000,24.3,1063,25.0,616,61.0,756,77.5,298,25.9,1668,master_account
Yeungnam University,37.0–41.8,8010,24.1,1076,18.0,921,66.8,629,47.0,864,54.9,678,master_account
Zhejiang Normal University,37.0–41.8,8020,20.3,1353,19.0,865,75.4,433,54.1,736,35.6,1292,master_account
Zhengzhou University,37.0–41.8,8030,18.7,1488,19.8,827,82.5,274,35.8,1081,25.2,1700,master_account
University of the Aegean,32.7–36.9,8040,18.3,1522,21.9,733,54.4,900,80.0,263,33.9,1357,master_account
Ahvaz Jundishapur University of Medical Sciences (AJUMS),32.7–36.9,8050,38.1,360,10.7,1555,58.1,820,20.1,1522,21.8,1813,master_account
Al-Azhar University,32.7–36.9,8060,19.2,1448,10.9,1533,69.2,575,20.4,1515,57.4,633,master_account
University of Alcalá,32.7–36.9,8070,27.8,812,15.1,1109,55.0,885,41.9,939,64.4,495,master_account
Alexandria University,32.7–36.9,8080,17.9,1553,17.7,933,58.2,817,27.2,1253,51.4,755,master_account
University of Algarve,32.7–36.9,8090,18.5,1499,19.5,836,52.3,955,25.3,1325,66.4,457,master_account
American University in Cairo,32.7–36.9,8100,26.7,888,24.0,650,51.1,993,23.0,1400,70.3,402,master_account
Amity University,32.7–36.9,8110,23.6,1102,14.0,1203,62.3,724,20.0,1527,31.1,1457,master_account
Amrita Vishwa Vidyapeetham,32.7–36.9,8120,28.4,779,20.5,786,60.8,762,41.1,952,36.9,1244,master_account
"""""University of the Andes"," Colombia""""",32.7–36.9,8130,24.4,1047,19.6,830,48.4,1045,28.5,1217,60.8,566
Arak University of Medical Sciences,32.7–36.9,8140,31.7,601,10.2,1622,66.4,639,18.9,1594,21.2,1834,master_account
Aristotle University of Thessaloniki,32.7–36.9,8150,22.3,1200,16.8,980,66.3,641,52.7,758,38.1,1185,master_account
Arts et Métiers,32.7–36.9,8160,31.1,635,19.5,837,35.2,1318,67.7,486,67.0,445,master_account
Aswan University,32.7–36.9,8170,16.7,1649,12.1,1396,75.6,427,18.4,1631,50.4,791,master_account
Athens University of Economics and Business,32.7–36.9,8180,18.1,1538,23.6,667,53.3,937,57.8,684,44.5,973,master_account
Bahçeşehir University,32.7–36.9,8190,19.5,1417,24.4,631,59.4,792,39.6,987,61.2,556,master_account
Bahria University,32.7–36.9,8200,14.2,1791,9.7,1682,77.3,386,16.2,1833,48.7,840,master_account
University of the Balearic Islands,32.7–36.9,8210,26.8,882,15.1,1110,56.4,858,32.0,1142,58.1,621,master_account
University of Belgrade,32.7–36.9,8220,21.3,1279,27.0,540,49.4,1030,34.0,1109,42.3,1038,master_account
University of Bergamo,32.7–36.9,8230,19.4,1428,21.2,758,59.6,790,33.3,1125,37.5,1217,master_account
"""""Birla Institute of Technology and Science"," Pilani""""",32.7–36.9,8240,23.7,1098,17.0,971,67.4,612,31.7,1146,25.1,1701
BRAC University,32.7–36.9,8250,14.8,1765,12.3,1374,71.1,533,15.7,1894,42.2,1044,master_account
Université de Bretagne Occidentale,32.7–36.9,8260,20.3,1346,19.6,831,52.0,959,47.8,847,60.5,574,master_account
University of Brighton,32.7–36.9,8270,19.8,1387,16.5,1004,53.9,916,60.9,627,84.4,196,master_account
Bucharest University of Economic Studies,32.7–36.9,8280,19.7,1397,11.6,1451,75.9,418,20.8,1493,27.8,1585,master_account
Cairo University,32.7–36.9,8290,25.0,1003,18.5,887,59.9,784,39.2,999,45.4,945,master_account
University of Camerino (Unicam),32.7–36.9,8300,18.0,1547,17.6,935,58.6,808,60.0,646,53.0,710,master_account
Carlos III University of Madrid,32.7–36.9,8310,29.5,720,20.8,779,42.9,1167,66.9,501,60.0,582,master_account
University of Castilla-La Mancha,32.7–36.9,8320,24.2,1066,17.2,954,53.7,925,46.3,875,42.0,1049,master_account
Catholic University of Portugal,32.7–36.9,8330,19.6,1410,18.7,880,64.4,684,25.6,1310,55.7,665,master_account
Changsha University of Science and Technology,32.7–36.9,8340,16.8,1639,13.5,1248,76.5,402,41.6,945,27.9,1578,master_account
Chapman University,32.7–36.9,8350,36.9,390,14.7,1144,48.1,1053,59.2,658,46.8,895,private
Charles Sturt University,32.7–36.9,8360,18.5,1501,17.9,924,55.1,883,58.0,679,66.3,459,master_account
Institute of Chemical Technology,32.7–36.9,8370,37.5,377,20.7,782,51.0,994,57.9,682,17.4,1902,master_account
Chengdu University,32.7–36.9,8380,18.5,1502,14.5,1159,74.1,463,28.5,1219,28.2,1568,master_account
Chiang Mai University,32.7–36.9,8390,28.5,772,19.1,858,46.3,1086,58.1,678,39.5,1131,master_account
Chiba University,32.7–36.9,8400,33.2,532,20.9,774,42.0,1181,68.9,456,33.9,1358,master_account
University of Chile,32.7–36.9,8410,25.9,942,19.8,823,50.5,1007,57.4,694,52.9,717,master_account
China University of Petroleum (East China),32.7–36.9,8420,22.2,1209,23.0,685,54.3,902,68.2,474,23.8,1747,master_account
Chonnam National University,32.7–36.9,8430,28.5,773,28.3,508,43.6,1148,57.5,692,32.8,1392,master_account
Chungnam National University,32.7–36.9,8440,29.9,691,29.7,480,34.9,1329,71.7,390,26.0,1661,master_account
Clarkson University,32.7–36.9,8450,29.9,692,18.0,915,41.2,1196,67.4,489,63.3,511,private
University of Clermont Auvergne,32.7–36.9,8460,21.8,1244,18.1,912,54.2,909,61.6,620,68.3,428,master_account
University of la Costa,32.7–36.9,8470,13.2,1834,10.7,1557,74.2,460,16.3,1824,54.9,677,master_account
Covenant University,32.7–36.9,8480,24.7,1024,24.4,633,56.6,856,24.2,1358,54.3,688,master_account
CY Cergy Paris University,32.7–36.9,8490,23.8,1091,25.3,595,44.4,1136,56.6,707,92.7,89,master_account
Czech University of Life Sciences Prague (CZU),32.7–36.9,8500,20.1,1365,15.4,1086,50.8,998,50.2,803,76.4,303,master_account
Damietta University,32.7–36.9,8510,16.4,1666,9.4,1726,73.0,483,17.4,1709,46.1,925,master_account
University of Delhi,32.7–36.9,8520,40.4,295,24.2,642,39.0,1240,40.5,969,23.3,1766,master_account
Delhi Technological University,32.7–36.9,8530,16.9,1630,20.1,803,76.7,400,28.5,1220,19.7,1876,master_account
University of Deusto,32.7–36.9,8540,22.5,1186,23.2,676,54.3,904,36.6,1059,42.3,1040,master_account
University of Dhaka,32.7–36.9,8550,17.5,1594,10.0,1639,68.8,585,18.1,1657,48.5,850,master_account
Eötvös Loránd University,32.7–36.9,8560,28.6,764,19.2,855,57.3,836,33.4,1124,51.3,760,master_account
Federal University of Minas Gerais,32.7–36.9,8570,40.2,302,23.3,675,43.3,1157,50.8,794,33.4,1375,master_account
Universidade Federal de Santa Catarina,32.7–36.9,8580,32.5,569,21.6,746,41.6,1191,64.2,562,35.3,1307,master_account
Universidade Federal de São Paulo (UNIFESP),32.7–36.9,8590,33.2,533,22.5,708,48.2,1049,47.2,859,35.2,1309,master_account
Ferdowsi University of Mashhad,32.7–36.9,8600,28.6,765,26.8,546,48.2,1050,45.4,888,38.6,1167,master_account
Florida Atlantic University,32.7–36.9,8610,22.5,1187,21.9,734,57.3,837,57.6,691,51.8,745,public
Florida Institute of Technology,32.7–36.9,8620,29.0,743,16.4,1015,45.2,1113,54.8,729,80.4,250,private
University of the Free State,32.7–36.9,8630,22.4,1192,18.7,881,56.4,859,26.9,1261,51.7,749,master_account
Fuzhou University,32.7–36.9,8640,18.9,1471,16.5,1007,71.5,521,53.2,747,36.7,1254,master_account
University of Girona,32.7–36.9,8650,20.8,1314,22.4,715,56.3,860,55.0,722,56.8,646,master_account
University of Gloucestershire,32.7–36.9,8660,17.4,1598,14.0,1204,57.6,827,34.5,1100,65.7,468,master_account
Gorgan University of Agricultural Sciences and Natural Resources,32.7–36.9,8670,15.8,1707,11.3,1485,78.0,367,34.2,1107,35.7,1289,master_account
Guangzhou University,32.7–36.9,8680,19.4,1430,12.7,1335,77.1,393,22.4,1421,35.9,1283,master_account
Guangzhou Medical University,32.7–36.9,8690,24.2,1069,10.2,1623,72.5,496,26.6,1278,28.5,1559,master_account
Guilan University of Medical Sciences,32.7–36.9,8700,38.2,359,10.4,1600,63.7,696,16.6,1795,21.9,1811,master_account
Harbin Engineering University,32.7–36.9,8710,28.1,802,30.6,451,43.6,1149,64.9,548,24.4,1726,master_account
Hazara University Mansehra,32.7–36.9,8720,27.1,868,10.7,1559,70.9,540,16.7,1784,49.0,828,master_account
Howard University,32.7–36.9,8730,48.0,160,18.8,874,41.6,1192,39.8,982,39.3,1140,private
University of Ibadan,32.7–36.9,8740,27.6,832,14.4,1163,59.3,795,24.4,1354,41.0,1080,master_account
Ilam University of Medical Sciences,32.7–36.9,8750,30.8,648,12.0,1407,65.7,658,17.2,1735,23.4,1765,master_account
"""""Indian Institute of Science Education and Research"," Pune""""",32.7–36.9,8760,42.9,242,25.1,605,35.7,1308,25.4,1321,38.9,1153
Indian Institute of Technology Gandhinagar,32.7–36.9,8770,41.1,278,27.2,533,39.0,1241,26.5,1282,29.6,1512,master_account
University of Indonesia,32.7–36.9,8780,45.5,198,23.1,682,29.2,1461,51.9,774,60.3,576,master_account
Indraprastha Institute of Information Technology Delhi,32.7–36.9,8790,22.8,1164,16.0,1045,66.2,646,57.8,687,44.6,970,master_account
Inha University,32.7–36.9,8800,31.2,630,27.2,534,41.7,1189,83.9,220,38.8,1158,master_account
Universitat Internacional de Catalunya,32.7–36.9,8810,22.8,1165,17.6,937,57.0,846,21.2,1474,65.9,464,master_account
"""""International Islamic University"," Islamabad""""",32.7–36.9,8820,17.3,1608,11.2,1500,72.7,490,17.6,1692,60.0,583
Isfahan University of Medical Sciences,32.7–36.9,8830,45.6,195,13.6,1236,47.0,1077,25.6,1311,25.4,1686,master_account
Islamia College Peshawar,32.7–36.9,8840,21.4,1276,11.1,1510,62.9,708,17.1,1743,55.6,666,master_account
University of Jaén,32.7–36.9,8850,20.7,1321,18.8,876,64.2,688,41.0,953,45.4,946,master_account
Jahangirnagar University,32.7–36.9,8860,24.1,1074,8.9,1810,71.9,509,19.5,1561,49.7,810,master_account
Jaume I University,32.7–36.9,8870,23.0,1150,20.5,787,56.5,857,47.7,850,45.7,939,master_account
Jawaharlal Nehru Technological University Anantapur (JNTUA),32.7–36.9,8880,28.9,749,14.1,1193,60.7,764,17.5,1698,19.6,1878,master_account
Jaypee University of Information Technology,32.7–36.9,8890,23.2,1133,16.5,1008,70.6,550,22.5,1419,23.8,1748,master_account
Jazan University,32.7–36.9,8900,21.0,1300,9.9,1652,67.3,614,19.4,1565,77.4,287,master_account
Jeonbuk National University,32.7–36.9,8910,30.2,678,27.3,530,45.0,1119,68.1,478,34.1,1351,master_account
Jiangnan University,32.7–36.9,8920,24.7,1027,22.4,716,60.2,771,76.6,308,24.0,1742,master_account
Jordan University of Science and Technology,32.7–36.9,8930,19.8,1389,13.6,1239,67.3,615,40.8,960,61.1,559,master_account
JSS Academy of Higher Education and Research,32.7–36.9,8940,39.7,317,10.6,1572,51.9,966,22.0,1439,51.8,746,master_account
Kafrelsheikh University,32.7–36.9,8950,14.7,1770,9.1,1780,76.2,410,20.0,1530,51.9,741,master_account
Kalasalingam Academy of Research and Education,32.7–36.9,8960,29.1,739,8.9,1812,74.8,440,19.9,1538,30.3,1489,master_account
Kaohsiung Medical University,32.7–36.9,8970,26.4,915,26.1,566,44.0,1142,81.3,248,28.7,1550,master_account
Kazan Federal University,32.7–36.9,8980,44.7,210,21.7,742,32.3,1394,42.6,928,69.2,417,master_account
King Faisal University,32.7–36.9,8990,19.9,1380,12.2,1388,68.0,602,31.4,1152,75.5,323,master_account
King Mongkut’s University of Technology Thonburi,32.7–36.9,9000,21.5,1266,22.1,723,59.5,791,71.0,408,43.3,1004,master_account
Kingston University,32.7–36.9,9010,20.0,1374,15.3,1095,53.2,940,52.2,766,91.3,111,master_account
K.N. Toosi University of Technology,32.7–36.9,9020,22.6,1177,21.0,767,60.2,773,34.8,1096,35.7,1290,master_account
Kore University of Enna,32.7–36.9,9030,18.0,1548,12.3,1380,71.3,530,40.9,957,37.3,1227,master_account
Kumamoto University,32.7–36.9,9040,33.6,515,19.6,834,40.9,1203,77.5,295,36.5,1257,master_account
University of Kurdistan,32.7–36.9,9050,16.8,1644,14.7,1146,70.8,543,19.0,1590,35.9,1284,master_account
Kyoto Prefectural University of Medicine,32.7–36.9,9060,33.6,516,16.0,1046,47.8,1062,68.2,476,20.1,1864,master_account
University of Lahore,32.7–36.9,9070,17.6,1586,10.2,1625,68.8,586,20.3,1519,52.6,724,master_account
Lahore University of Management Sciences,32.7–36.9,9080,23.3,1131,16.7,992,60.2,774,43.1,919,53.0,714,master_account
Lakehead University,32.7–36.9,9090,17.6,1587,24.0,651,51.4,982,48.7,830,59.2,599,master_account
Lebanese University,32.7–36.9,9100,42.8,246,22.3,718,23.6,1592,17.7,1686,78.8,266,master_account
Leeds Beckett University,32.7–36.9,9110,17.7,1581,16.2,1033,65.0,673,49.9,809,67.3,440,master_account
Lithuanian University of Health Sciences,32.7–36.9,9120,27.1,871,12.6,1348,55.5,877,25.5,1319,52.9,718,master_account
University of Ljubljana,32.7–36.9,9130,24.5,1044,20.1,805,54.6,894,69.8,436,42.4,1034,master_account
University of Lleida,32.7–36.9,9140,23.5,1111,20.1,806,58.2,819,57.3,698,45.4,947,master_account
Lovely Professional University,32.7–36.9,9150,21.5,1267,12.8,1326,73.7,470,17.5,1699,43.4,1003,master_account
Makerere University,32.7–36.9,9160,23.4,1122,25.3,596,39.6,1226,52.1,769,68.1,430,master_account
University of Malakand,32.7–36.9,9170,16.8,1645,14.0,1206,74.1,464,26.7,1273,49.2,823,master_account
University of Malta,32.7–36.9,9180,23.4,1123,16.2,1034,60.6,766,20.5,1512,53.8,696,master_account
University of Management and Technology,32.7–36.9,9190,13.8,1812,10.4,1601,80.4,315,19.1,1581,51.3,762,master_account
Mansoura University,32.7–36.9,9200,19.5,1422,12.4,1366,68.1,600,31.8,1145,74.1,349,master_account
Marquette University,32.7–36.9,9210,36.9,392,18.2,908,54.0,914,49.3,822,33.1,1384,private
Medical University of Lodz,32.7–36.9,9220,27.4,852,11.0,1525,67.6,609,39.7,986,32.3,1412,master_account
University of Medicine and Pharmacy Carol Davila,32.7–36.9,9230,26.3,920,11.0,1526,62.6,716,24.6,1348,38.8,1159,master_account
University of Memphis,32.7–36.9,9240,27.5,845,19.0,863,55.0,887,63.0,589,35.0,1317,public
University of Mohaghegh Ardabili,32.7–36.9,9250,19.3,1442,17.3,950,71.5,523,19.7,1548,32.9,1391,master_account
Montana State University,32.7–36.9,9260,24.0,1079,20.4,792,56.3,862,63.0,590,38.0,1197,public
University of Murcia,32.7–36.9,9270,25.2,988,19.9,819,52.6,950,61.4,624,38.9,1155,master_account
Nanjing University of Information Science and Technology,32.7–36.9,9280,18.0,1550,18.3,905,68.6,592,42.0,937,42.4,1035,master_account
Nanjing Medical University,32.7–36.9,9290,36.3,419,16.5,1009,58.1,821,41.2,950,25.8,1670,master_account
Nanjing Normal University,32.7–36.9,9300,25.1,992,15.1,1114,66.5,636,50.7,798,29.8,1502,master_account
National Autonomous University of Mexico,32.7–36.9,9310,29.9,696,30.4,459,34.4,1341,62.5,602,58.4,615,master_account
National Taipei University of Technology,32.7–36.9,9320,27.3,862,25.0,611,35.8,1307,94.1,127,41.6,1065,master_account
"""""National Institute of Technology"," Tiruchirappalli""""",32.7–36.9,9330,33.8,500,17.1,963,60.2,775,27.1,1258,21.2,1837
The New School,32.7–36.9,9340,29.8,699,15.5,1083,45.8,1102,27.2,1257,61.1,560,private
New Mexico State University (Main campus),32.7–36.9,9350,25.8,952,22.1,724,49.8,1022,62.9,592,45.6,941,public
North China Electric Power University,32.7–36.9,9360,22.0,1228,23.1,683,51.4,984,60.1,645,22.4,1790,master_account
Northeast Normal University,32.7–36.9,9370,28.2,799,15.6,1077,60.9,759,45.5,886,31.1,1461,master_account
University of Northern British Columbia (UNBC),32.7–36.9,9380,21.1,1296,21.8,739,51.7,974,21.4,1465,52.0,738,master_account
North South University,32.7–36.9,9390,12.9,1850,10.0,1643,76.1,413,15.8,1887,43.3,1005,master_account
Nova Southeastern University,32.7–36.9,9400,39.1,331,12.2,1389,50.1,1020,38.9,1008,34.4,1342,private
Okayama University,32.7–36.9,9410,34.6,474,21.5,748,36.4,1295,84.9,210,37.2,1231,master_account
University of Oviedo,32.7–36.9,9420,29.0,745,18.5,891,49.2,1035,40.6,965,37.8,1205,master_account
Ozyegin University,32.7–36.9,9430,16.3,1680,23.9,660,53.5,932,58.0,680,57.7,629,master_account
Pablo de Olavide University,32.7–36.9,9440,23.8,1095,17.5,943,58.5,812,66.9,506,47.8,869,master_account
Palacký University Olomouc,32.7–36.9,9450,23.4,1124,23.9,661,49.8,1023,36.8,1052,61.8,546,master_account
Panthéon-Sorbonne University – Paris 1,32.7–36.9,9460,33.9,497,31.8,421,36.6,1287,27.3,1252,67.7,436,master_account
University of Patras,32.7–36.9,9470,19.0,1468,17.8,930,56.2,863,68.4,470,35.1,1313,master_account
UPES,32.7–36.9,9480,28.3,789,16.7,993,63.7,699,17.1,1747,50.7,782,master_account
Université de Poitiers,32.7–36.9,9490,28.6,768,25.7,585,36.0,1300,45.0,893,58.9,605,master_account
Pontifical Catholic University of Rio de Janeiro (PUC-Rio),32.7–36.9,9500,33.4,529,30.5,456,37.1,1276,62.9,593,43.2,1014,master_account
Portland State University,32.7–36.9,9510,22.1,1224,23.2,679,55.7,871,54.7,733,35.0,1319,public
University of the Punjab,32.7–36.9,9520,27.7,825,14.7,1149,62.4,723,24.9,1341,46.7,905,master_account
Qassim University,32.7–36.9,9530,36.0,428,20.4,794,42.8,1171,21.6,1459,80.2,254,master_account
Qom University of Medical Sciences,32.7–36.9,9540,35.2,457,7.3,1900,60.0,782,17.9,1676,22.4,1791,master_account
University of Regina,32.7–36.9,9550,17.8,1571,19.5,840,62.9,709,36.1,1074,71.0,391,master_account
